,company,name,year,Price,kms_driven,fuel_type
0,Hyundai,Hyundai Santro Xing,2007,80000,45000,Petrol
1,Mahindra,Mahindra Jeep CL550,2006,425000,40,Diesel
2,Hyundai,Hyundai Grand i10,2014,325000,28000,Petrol
3,Ford,Ford EcoSport Titanium,2014,575000,36000,Diesel
4,Ford,Ford Figo,2012,175000,41000,Diesel
5,Hyundai,Hyundai Eon,2013,190000,25000,Petrol
6,Ford,Ford EcoSport Ambiente,2016,830000,24530,Diesel
7,Maruti,Maruti Suzuki Alto,2015,250000,60000,Petrol
8,Skoda,Skoda Fabia Classic,2010,182000,60000,Petrol
9,Maruti,Maruti Suzuki Stingray,2015,315000,30000,Petrol
10,Hyundai,Hyundai Elite i20,2014,415000,32000,Petrol
11,Mahindra,Mahindra Scorpio SLE,2015,320000,48660,Diesel
12,Hyundai,Hyundai Santro Xing,2007,80000,45000,Petrol
13,Mahindra,Mahindra Jeep CL550,2006,425000,40,Diesel
14,Audi,Audi A8,2017,1000000,4000,Petrol
15,Audi,Audi Q7,2014,500000,16934,Diesel
16,Mahindra,Mahindra Scorpio S10,2016,350000,43000,Diesel
17,Maruti,Maruti Suzuki Alto,2014,160000,35550,Petrol
18,Mahindra,Mahindra Scorpio S10,2016,350000,43000,Diesel
19,Mahindra,Mahindra Scorpio S10,2016,310000,39522,Diesel
20,Maruti,Maruti Suzuki Alto,2015,75000,39000,Petrol
21,Hyundai,Hyundai i20 Sportz,2012,100000,55000,Petrol
22,Hyundai,Hyundai i20 Sportz,2012,100000,55000,Petrol
23,Hyundai,Hyundai i20 Sportz,2012,100000,55000,Petrol
24,Maruti,Maruti Suzuki Alto,2017,190000,72000,Petrol
25,Maruti,Maruti Suzuki Vitara,2016,290000,15975,Diesel
26,Maruti,Maruti Suzuki Alto,2008,95000,70000,Petrol
27,Mahindra,Mahindra Bolero DI,2017,180000,23452,Diesel
28,Maruti,Maruti Suzuki Swift,2014,385000,35522,Diesel
29,Mahindra,Mahindra Scorpio S10,2015,250000,48508,Diesel
30,Maruti,Maruti Suzuki Swift,2017,180000,15487,Petrol
31,Maruti,Maruti Suzuki Wagon,2013,105000,39000,Petrol
32,Maruti,Maruti Suzuki Wagon,2013,105000,39000,Petrol
33,Toyota,Toyota Innova 2.0,2012,650000,82000,Diesel
34,Renault,Renault Lodgy 85,2018,689999,20000,Diesel
35,Skoda,Skoda Yeti Ambition,2012,448000,68000,Diesel
36,Maruti,Maruti Suzuki Baleno,2017,549000,32000,Diesel
37,Renault,Renault Duster 110,2012,501000,38000,Diesel
38,Renault,Renault Duster 85,2013,489999,27000,Diesel
39,Honda,Honda City 1.5,2011,280000,33000,Petrol
40,Maruti,Maruti Suzuki Alto,2015,250000,60000,Petrol
41,Maruti,Maruti Suzuki Dzire,2013,349999,46000,Diesel
42,Honda,Honda Amaze,2013,284999,46000,Diesel
43,Honda,Honda Amaze 1.5,2015,345000,36000,Diesel
44,Honda,Honda City,2015,499999,55000,Petrol
45,Datsun,Datsun Redi GO,2017,235000,16000,Petrol
46,Maruti,Maruti Suzuki SX4,2010,249999,36000,Petrol
47,Mitsubishi,Mitsubishi Pajero Sport,2015,1475000,47000,Diesel
48,Mahindra,Mahindra Bolero DI,2017,180000,23452,Diesel
49,Maruti,Maruti Suzuki Swift,2014,385000,35522,Diesel
50,Mahindra,Mahindra Scorpio S10,2015,250000,48508,Diesel
51,Maruti,Maruti Suzuki Swift,2017,180000,15487,Petrol
52,Maruti,Maruti Suzuki Wagon,2013,105000,39000,Petrol
53,Maruti,Maruti Suzuki Wagon,2013,105000,39000,Petrol
54,Mahindra,Mahindra Scorpio S10,2015,395000,35000,Diesel
55,Maruti,Maruti Suzuki Swift,2017,220000,30874,Petrol
56,Honda,Honda City ZX,2017,170000,15000,Diesel
57,Maruti,Maruti Suzuki Wagon,2013,85000,29685,Petrol
58,Ford,Ford Figo,2012,175000,41000,Diesel
59,Hyundai,Hyundai Eon,2013,190000,25000,Petrol
60,Tata,Tata Indigo eCS,2017,200000,130000,Diesel
61,Ford,Ford EcoSport Ambiente,2016,830000,24530,Diesel
62,Tata,Tata Indigo eCS,2017,200000,130000,Diesel
63,Mahindra,Mahindra Scorpio SLE,2012,570000,19000,Diesel
